node1_norm,node2_norm,weight
list,nice,16
enjoy,grade,18
confidence,head,61
confidence,lack,117
badly,clean,12
book,plan,84
moment,perspective,43
exactly,first,33
butt,poor,12
long,pretty,66
bring,read,44
boring,made,10
high,school,616
plenty,working,4
high,speak,60
beat,deserve,11
kid,set,33
age,angry,13
badly,story,25
food,teacher,10
effort,teach,23
aware,die,7
dark,professional,4
flaws,rest,3
feeling,system,28
body,mind,184
body,heal,10
lead,reaction,18
depressed,food,24
food,unhealthy,14
fully,simply,12
angry,prove,3
power,share,42
butt,home,74
come,late,84
pretty,tell,75
back,two,178
become,kinda,15
couple,fuck,48
play,whole,79
build,somewhere,9
ugly,write,9
hang,however,19
lost,low,21
natural,response,13
bear,realise,8
determine,easily,2
deal,feeling,138
ego,move,24
allow,attention,44
create,group,45
paper,process,12
apply,read,61
shy,talk,43
ask,play,80
already,complete,19
history,whatever,10
city,find,20
school,sleep,72
grow,pass,32
develop,fact,45
call,pattern,18
allow,easily,11
hear,say,112
pay,school,115
ahead,high,12
ahead,hit,4
base,fail,24
butt,say,114
asshole,butt,9
see,shit,100
look,society,26
big,face,39
confidence,high,81
home,side,28
possible,word,37
fun,gym,30
human,type,22
awesome,story,10
fake,rude,2
discipline,ignore,3
close,find,66
kill,normal,13
condition,worry,3
decent,left,8
confident,long,27
desire,long,43
deal,desire,32
home,regret,15
begin,decided,41
improve,rest,14
shit,skin,16
shit,talk,177
brain,stop,71
believe,therapy,24
grow,suggest,19
honest,mistakes,6
honest,suggest,4
respect,walk,37
last,turn,109
group,personal,37
especially,last,39
create,knowledgeable,46
benefit,remember,27
child,present,17
always,deep,45
physical,shit,22
career,value,27
male,show,15
girlfriend,text,12
fun,last,64
esteem,sleep,9
almost,physically,9
result,test,40
butt,head,48
dream,say,25
catch,come,21
always,helpful,10
hold,talk,74
apply,seem,15
great,support,20
ability,great,35
support,though,29
personal,sometimes,27
reality,reason,30
least,real,60
pretty,source,8
awesome,head,14
break,hear,26
course,solve,6
course,role,8
fast,strong,18
party,usually,15
role,usually,4
helpful,support,19
calm,support,9
ability,reality,30
failure,repeat,6
view,wait,2
internal,opportunity,7
awesome,power,5
entire,helpful,5
active,fast,5
awesome,method,3
gain,pretty,6
bc,usually,5
money,soon,45
although,top,2
girl,music,36
date,fun,82
approach,face,20
crap,music,3
eventually,relationship,43
due,little,16
broke,realize,17
constant,process,7
fault,perception,4
perception,wife,1
fuck,test,17
core,thought,9
amazing,else,13
book,type,37
practice,saying,15
heart,hurt,49
almost,interest,33
acceptance,else,2
deal,learn,126
information,list,19
escape,need,15
everything,often,71
anyone,express,10
empty,probably,3
path,show,41
accept,recognize,35
desire,whatever,39
allow,eating,26
somehow,trust,5
respect,uncomfortable,10
guide,path,14
move,reason,42
lie,writing,15
eat,game,51
least,smoke,17
butt,open,38
improve,need,53
look,perspective,36
give,influence,12
great,loser,5
alone,hope,32
less,often,116
free,less,42
free,sleep,29
allow,figure,23
benefit,energy,27
knowledgeable,perspective,8
honesty,perspective,1
approach,difference,9
attract,fair,3
honesty,quality,1
anxiety,eating,25
deal,shitty,16
choice,contact,5
choice,escape,9
study,successful,30
instead,limit,8
asshole,friend,11
eat,video,39
due,present,13
admit,afraid,11
English,meditation,1
kind,stop,32
feed,long,10
enough,feed,14
health,normal,22
doctor,strong,7
die,suddenly,1
drug,unfortunately,2
amazing,school,19
leave,moment,55
low,seek,22
close,made,54
achieve,close,32
close,touch,10
eventually,view,12
male,recently,2
away,brain,23
concept,painful,2
boyfriend,offer,3
school,surprise,1
badly,surprise,3
kid,yeah,14
give,little,62
give,lead,69
grow,making,33
training,two,19
confident,hide,8
alcohol,pretty,10
amount,field,8
aware,play,27
ask,father,26
poor,tip,4
leave,response,13
late,refuse,8
find,skin,15
hobbies,reduce,2
girl,worth,58
hand,parent,48
angry,interested,11
great,related,8
decision,worth,23
doubt,plan,11
require,usually,20
physical,worry,17
important,simple,30
deep,university,8
prove,write,24
comment,teacher,10
standard,weight,11
prove,research,12
girl,opinion,59
career,tell,23
mom,whole,50
close,video,26
kind,sit,10
eating,kind,6
pick,side,14
bc,fall,10
program,therapy,6
basically,writing,17
activity,spend,35
news,youtube,8
path,stop,24
great,push,33
happy,miserable,23
happy,zone,13
area,fact,12
case,include,14
comfort,push,27
comfort,insight,3
crazy,technique,2
heart,success,12
feeling,hate,129
challenge,opportunity,31
state,stick,32
emotionally,sex,17
childhood,free,8
crazy,imagine,7
cheating,nice,5
find,million,7
age,woman,79
naturally,thinking,7
enjoy,image,14
note,system,6
awkward,walk,5
real,soon,23
perception,together,3
light,simple,5
always,keep,120
belief,follow,71
ass,woman,10
notice,quality,9
healthy,useful,24
depression,read,47
drink,live,38
brother,feeling,23
hang,plan,16
direction,interest,14
context,push,8
apply,plan,35
fit,sort,4
check,fair,2
reduce,working,5
brain,long,70
ask,cost,9
area,terrible,6
balance,family,8
chance,purpose,13
hold,kinda,9
long,reason,44
business,lazy,15
challenge,natural,6
