node1_norm,node2_norm,weight
similar,social,66
confidence,story,60
certain,thought,142
follow,response,33
certain,response,31
face,money,125
cycle,meet,25
easily,smart,16
grateful,individual,13
rather,serious,14
couple,productive,21
country,learn,77
gone,gym,31
lose,shit,133
cause,fast,53
call,parent,215
call,food,124
head,waste,64
lose,smoke,48
bunch,fast,11
difference,mind,52
kind,turn,190
kind,worry,84
fun,standard,16
consider,pick,42
gym,read,150
decision,effort,73
read,say,247
pattern,realize,58
come,desire,146
always,progress,111
ex,interest,11
never,seem,218
choose,reality,106
big,major,56
need,young,128
big,tell,298
anyone,social,183
middle,play,31
high,smart,111
sport,turn,25
bring,term,53
eat,far,74
far,smoke,40
excuse,hate,31
allow,read,133
cycle,instead,50
college,home,370
moving,run,43
check,moving,24
brother,listen,30
circumstance,dark,4
front,parent,38
home,story,133
reason,seem,166
thinking,whole,158
hurt,two,108
fight,party,11
back,everything,296
back,wear,59
call,pull,29
eye,head,123
angry,hand,23
hang,piece,8
pay,power,46
class,making,43
college,decided,118
brain,see,168
affect,body,82
anger,pain,65
due,peace,7
couple,tell,114
figure,should,119
guess,long,69
happen,saying,117
guess,made,61
eye,little,37
girl,guy,1591
believe,face,201
believe,short,73
hang,least,29
almost,late,155
completely,home,137
club,eat,14
somewhere,whole,17
drink,kid,60
decision,emotional,75
base,miss,11
human,level,58
recognize,remember,45
degree,discover,6
build,complete,77
meaningful,often,31
run,value,92
case,create,78
failure,leave,36
check,community,16
concept,project,22
deal,realize,192
family,fill,37
message,saying,57
contact,notice,24
eye,message,24
exercise,rid,12
suffer,view,19
fast,schedule,30
pattern,productive,15
limit,productive,17
finish,pattern,8
country,living,110
add,food,144
depression,though,62
ability,should,75
motivated,turn,16
course,likely,45
event,setting,12
dream,pursue,90
effect,practice,55
account,anyone,39
guy,learn,298
come,power,151
state,young,41
complete,rule,22
find,man,272
ability,live,87
act,two,115
deal,moment,146
bring,future,111
either,perhaps,26
sense,whether,69
follow,kid,58
possibly,process,5
decide,level,42
result,society,62
reach,smart,34
decide,perhaps,9
comment,try,58
character,learn,64
means,try,136
ever,means,282
means,thinking,173
fail,high,233
either,fail,67
always,fact,236
give,man,365
dad,friend,108
internet,read,64
allow,business,55
badly,drop,31
move,plus,18
anyway,together,30
ever,wish,170
read,shit,159
actually,nice,72
please,probably,69
fun,notice,65
fake,wish,8
forward,judge,14
clothes,truth,8
fix,school,108
depression,physical,72
look,maintain,34
anyone,path,76
alone,hear,57
kid,path,41
kill,opportunity,13
away,plan,173
comfortable,play,59
amount,least,70
pull,quit,16
figure,lead,74
confident,try,89
present,should,86
pretty,regret,28
club,young,19
recently,regret,9
place,usually,107
emotionally,guy,49
current,future,83
interesting,list,29
college,development,29
extra,need,47
ever,far,247
learn,waste,234
always,extra,30
create,share,182
far,share,54
course,history,20
assume,reduce,2
happiness,job,84
far,try,141
buy,man,80
big,important,367
afraid,somehow,12
almost,progress,56
decided,party,14
finish,include,8
club,physically,3
count,eye,12
instead,progress,133
decision,great,77
end,term,54
move,task,88
move,potential,47
decide,write,91
future,term,109
future,method,28
allow,ex,18
ex,safe,6
begin,computer,33
computer,room,31
laugh,potential,6
field,space,6
find,realize,284
growth,improve,55
explore,value,30
community,mindset,22
exact,quite,3
ability,environment,30
difficult,success,74
constantly,long,84
constantly,emotionally,20
anxious,ex,16
large,value,24
deep,last,128
fuck,individual,12
moment,sit,140
act,career,42
give,happy,239
tell,walk,129
degree,enjoy,84
opinion,process,38
seem,though,71
find,probably,222
find,word,126
see,support,81
emotion,first,145
badly,stop,91
thinking,whatever,265
realize,sound,141
line,reason,49
three,wrong,45
clearly,turn,13
cause,entire,35
catch,set,27
brain,head,152
head,view,32
sense,source,30
space,value,30
completely,solve,19
class,usually,83
reality,usually,28
kid,miss,34
dream,notice,32
personal,voice,25
inner,story,28
dream,meditation,23
dream,party,14
method,sad,3
ability,space,15
active,event,13
repeat,voice,18
character,front,6
gym,reason,176
forget,gym,37
pay,touch,10
always,perfect,120
able,identify,73
girl,line,34
away,real,176
build,meet,220
appreciate,last,61
identify,run,34
fail,word,83
dark,present,7
big,motivation,165
company,die,20
anymore,fun,102
deep,due,31
easy,routine,91
gym,spend,215
realize,saying,172
boyfriend,gym,20
class,period,28
made,means,67
definitely,understand,66
emotion,simply,102
fit,generally,9
back,trust,107
kind,stay,181
develop,girl,102
brother,sound,28
define,power,26
girlfriend,plan,52
opinion,spend,69
sleep,student,46
ask,skill,115
lesson,should,30
improve,often,104
practice,regular,29
accept,society,45
recognize,saying,23
certain,health,64
moment,recognize,55
future,handle,24
handle,word,18
follow,partner,45
business,eating,18
eating,somehow,10
decision,upset,16
recognize,respect,20
growth,healthy,55
offer,tool,18
computer,talk,37
likely,never,59
easy,moment,103
thinking,win,73
perfect,win,10
always,important,322
try,working,126
find,truly,157
look,reach,79
excuse,part,53
believe,eventually,127
believe,consistent,39
build,expect,62
bring,research,23
fail,reach,100
force,seek,18
living,mentioned,25
respect,see,80
quality,should,47
attract,part,41
expect,girl,85
act,body,125
exercise,free,70
routine,track,50
heres,leave,26
important,social,218
eye,skin,53
success,view,43
space,talk,52
fast,notice,38
badly,strong,47
head,lack,88
simple,wear,25
amount,approach,20
motivated,top,13
keep,sometimes,267
bed,keep,186
little,soon,38
easy,period,20
finish,period,7
track,understand,29
business,realize,105
progress,regular,15
attract,long,29
believe,loss,31
difference,move,30
lack,music,41
date,saying,128
influence,level,42
mindset,suppose,9
clear,line,21
although,power,17
approach,fat,14
fat,influence,4
far,shitty,13
helpful,journey,25
check,major,10
else,sure,33
nice,sure,47
family,free,136
amount,hate,38
career,movie,16
house,long,120
free,half,33
attention,pick,42
absolutely,completely,46
level,switch,17
chance,light,22
child,understanding,29
boring,talk,118
business,talk,77
anxiety,live,174
live,shouldnt,22
anyway,mine,6
anyone,experienced,20
admit,sometimes,31
move,shit,189
shit,together,203
achieve,shit,78
decided,game,107
activity,music,69
eye,thought,140
connection,physical,39
forward,rest,31
big,sick,31
sense,slowly,20
drug,leave,32
doctor,gone,10
gone,unfortunately,6
comfort,home,57
admit,lonely,4
missing,wrong,26
marry,mom,27
rather,task,66
accept,language,16
fix,manage,27
quite,working,41
easy,truly,59
aspect,big,40
activity,gym,108
amount,quite,27
seek,tip,22
decided,tip,13
motivated,tip,25
sure,usually,46
date,parent,138
happy,improve,79
limit,meal,9
find,save,78
back,explain,72
social,together,56
made,sure,61
anxiety,sure,54
food,together,53
describe,sorry,4
save,scared,13
app,currently,13
talk,whole,194
saying,view,48
confidence,deep,51
choice,girlfriend,18
soon,water,32
decision,effect,42
become,yeah,28
deep,end,51
build,rather,106
emotion,yeah,21
explore,specific,14
constantly,engage,7
development,relationship,38
ability,meet,39
lifestyle,meet,26
lifestyle,word,16
drink,phone,76
current,program,15
difficult,weird,19
always,quit,140
job,means,139
actually,definitely,43
nice,sit,50
skill,state,66
lesson,present,22
lose,sit,56
build,exist,46
exist,gone,10
back,expect,84
share,simple,55
lift,useful,9
engage,relationship,55
far,win,26
cool,write,33
group,several,18
leave,several,18
always,lazy,76
community,engage,23
confidence,soon,28
currently,jump,2
class,community,95
lack,left,45
ability,half,20
exercise,increase,108
notice,speak,89
constant,drop,5
diet,whole,50
room,sex,20
bear,high,38
energy,huge,43
energy,research,36
fast,worry,30
regularly,suggest,6
active,state,12
ask,probably,141
city,money,99
gym,stop,116
gym,stress,67
manage,understand,70
desire,manage,24
moment,mood,36
standard,writing,5
company,stupid,12
due,happy,46
compare,hate,71
benefit,eating,56
buy,human,16
always,system,75
human,mental,81
set,walk,113
lift,likely,12
pick,suppose,10
explore,hold,12
grow,happen,138
fall,growth,29
fix,major,12
cycle,finally,23
ignore,meet,52
pretty,purpose,35
fit,necessary,5
easily,realize,33
comfort,first,79
fun,path,29
constantly,mindset,47
expect,happen,88
feeling,prepare,25
making,push,32
comfort,place,60
late,okay,75
concept,exercise,11
fall,heart,52
muscle,simply,33
accomplish,handle,10
behavior,future,91
emotion,movie,32
media,power,26
business,repeat,13
method,plenty,7
please,present,24
imagine,quality,7
achieve,explain,27
common,watch,26
movie,tip,10
ever,fully,56
easy,parent,65
almost,connect,13
certain,early,45
come,exercising,22
first,reply,24
fun,live,113
little,woman,54
last,therapy,123
cool,pay,23
however,sex,47
consider,hang,20
class,lift,18
progress,sort,16
afraid,middle,8
moving,reply,4
healthy,project,24
please,receive,11
public,receive,4
play,tend,61
passion,state,14
insecure,social,31
age,although,29
country,insecure,6
suggest,wrong,33
pass,treat,16
poor,treat,7
god,view,26
boyfriend,plan,34
imagine,understand,66
schedule,stay,93
interested,worry,19
anxious,basically,16
interested,schedule,9
business,maintain,16
place,terrible,36
date,family,159
nice,young,57
finish,little,18
moving,university,18
important,solution,81
exact,word,12
entire,youtube,14
google,per,7
drive,keep,94
area,online,36
butt,rid,24
anger,try,51
likely,see,78
easy,personal,51
spend,touch,42
meet,relax,22
cause,circumstance,45
fun,proud,17
experienced,fun,7
energy,provide,42
case,conversation,44
music,understanding,11
country,present,5
gain,proud,9
circumstance,system,11
front,god,8
comfort,forever,5
provide,relax,11
front,immediately,11
fine,two,66
clear,whatever,60
act,judge,53
please,walk,20
fine,please,20
aware,describe,8
admit,honest,20
interest,piece,17
call,relax,18
buy,completely,32
fall,light,55
ever,shower,97
fat,water,40
jump,muscle,9
social,space,22
check,stupid,13
basically,success,39
choice,emotion,70
attention,sport,27
deal,fake,10
internet,period,4
body,discover,22
diet,simple,36
fail,shape,17
buy,fix,14
funny,share,26
incredibly,tv,2
offer,test,27
accept,exactly,39
ability,career,36
part,unless,33
spend,unless,40
include,money,56
alone,forward,46
important,setting,101
consider,phone,37
coffee,likely,17
sleep,tip,82
top,walk,24
buy,move,101
avoid,look,139
away,offer,50
option,room,22
clean,fun,50
hopefully,routine,5
internet,music,18
play,yeah,45
example,single,64
deal,heres,20
single,worth,38
bed,increase,44
activity,prove,15
lazy,ton,10
choice,suggest,22
drink,type,31
present,sport,6
attitude,wear,7
close,necessary,23
attractive,find,155
else,honestly,19
late,young,134
google,journey,5
energy,overall,25
general,probably,46
laugh,parent,37
possible,recommend,45
content,simply,35
fuck,rule,40
create,mine,19
benefit,sick,9
hit,three,24
human,maintain,16
hobby,pursue,15
entire,program,11
boring,look,19
ruin,see,25
quality,reason,37
ahead,game,21
develop,family,103
achieve,phone,57
follow,moving,43
light,phone,56
huge,switch,4
shower,version,5
quality,serious,5
prepare,teach,14
circumstance,wrong,26
clear,fail,48
buy,main,9
bed,short,35
prepare,turn,27
party,sure,17
appreciate,pull,7
challenge,explain,11
comment,due,23
college,purpose,45
check,least,62
important,text,36
important,poor,40
carry,usually,6
affect,text,5
heres,wait,9
shame,somewhere,4
hobby,return,2
follow,memory,19
general,simple,20
recommend,wrong,24
willing,word,20
consider,support,97
recommend,view,15
belief,character,13
connection,single,23
dark,woman,25
discover,healthy,15
explore,meaningful,13
expectation,kind,38
great,mess,14
mess,wake,12
message,order,13
plenty,win,5
actually,understand,156
deal,remove,18
read,whenever,45
quick,remember,20
mood,wake,19
friendships,grade,10
buy,uncomfortable,8
handle,pretty,18
recommend,term,32
journaling,should,18
skill,throw,28
easily,switch,6
miss,throw,13
cause,incredibly,24
listen,type,42
house,tip,11
actual,clear,9
especially,fear,69
calm,car,8
full,source,14
emotional,useful,16
consistently,mistakes,4
mental,routine,97
anxious,check,19
happy,line,17
choose,date,75
child,pursue,15
certain,impact,24
nice,reply,27
affect,bring,21
language,open,48
passion,smile,8
expectation,skill,36
close,expectation,14
cycle,should,30
please,save,19
everything,none,15
currently,ex,10
rid,stick,14
constant,run,18
judge,smart,18
instagram,last,32
leave,weird,37
girlfriend,phone,26
university,whatever,24
mom,position,14
potential,struggle,39
badly,music,25
rest,story,32
computer,quite,17
decided,wait,14
damn,present,3
prepare,pull,5
journal,sense,20
coffee,environment,11
desire,pick,24
made,smile,22
comment,professional,11
avoid,main,26
message,term,12
position,remind,5
carry,imagine,12
hit,thinking,65
degree,recently,16
actually,meal,21
doctor,pursue,8
childhood,inner,13
anyone,drop,34
interest,online,94
consider,feeling,125
notice,room,38
overall,tell,16
answer,regardless,11
away,constantly,101
sleep,weed,87
actually,emotional,49
coffee,drug,12
kill,moment,34
doubt,heres,6
mine,provide,6
overall,path,10
hand,society,22
overall,society,3
media,pressure,9
general,present,17
individual,moving,15
plenty,relationship,14
allow,bunch,11
friendships,normal,13
acknowledge,allow,39
emotional,hurt,75
call,mess,35
butt,doubt,44
fear,immediately,25
partner,setting,8
car,carry,9
attractive,process,29
approach,lost,20
lack,potential,36
end,extra,16
consistent,sit,20
level,potential,49
emotional,enough,48
first,suffer,69
desire,okay,30
pursue,shouldnt,8
otherwise,shouldnt,5
internet,talk,51
ruin,sleep,21
age,ignore,20
age,respond,11
force,journey,25
difference,force,20
force,message,9
genuinely,imagine,5
tell,tough,33
bear,feeling,31
happen,suggest,19
human,less,106
constantly,emotion,61
kid,regularly,8
moving,story,22
activity,touch,11
clear,suggest,12
development,number,11
count,pull,5
avoid,partner,43
hand,imagine,35
forget,moving,15
hang,tough,6
guy,otherwise,20
nice,purpose,26
company,okay,24
encourage,opinion,7
bunch,quick,3
language,specific,22
language,space,12
leave,limit,13
awesome,especially,9
super,tool,4
look,uncomfortable,38
food,forget,44
discover,drink,12
story,waiting,13
cycle,provide,11
company,struggled,4
perhaps,quickly,6
whole,worried,7
date,front,24
discover,front,4
potential,together,20
girl,ruin,46
carry,date,11
answer,meaning,60
play,shape,41
hate,walking,16
pay,whenever,22
sport,whenever,6
drug,nature,8
engage,regularly,10
ahead,fear,16
lead,suffer,51
achieve,language,37
identify,obviously,5
should,therapy,73
often,therapy,78
ass,health,14
grateful,okay,18
consistently,meal,5
ass,emotionally,2
therapy,water,14
difference,fuck,20
class,constant,12
mindset,unhealthy,14
cool,figure,23
environment,rest,21
delete,environment,6
response,show,45
fall,truth,21
respect,shit,83
job,suffer,68
shitty,strong,16
decide,partner,31
approach,forever,3
fight,waiting,1
social,train,13
receive,turn,19
apps,consider,12
easily,message,13
ahead,three,11
quality,train,4
cycle,unfortunately,4
mine,see,26
actively,give,27
shit,suffer,62
miserable,sorry,14
depressed,follow,26
afraid,smart,36
activity,understanding,36
book,honestly,63
hair,motivation,16
calm,motivation,13
eventually,regret,20
hair,provide,9
absolutely,hope,13
super,walk,40
broke,walk,12
busy,totally,3
never,waking,15
information,prepare,18
company,successful,36
fill,stupid,6
heart,term,20
quite,suppose,16
fuck,soon,51
abuse,kind,43
journal,move,23
case,mine,4
sorry,stay,41
alone,hobbies,62
acknowledge,play,17
aware,power,46
made,necessarily,7
suppose,though,17
describe,speak,17
necessarily,together,5
catch,quite,11
force,multiple,9
insecure,often,26
pressure,term,16
balance,force,8
graduate,tip,8
deep,weed,13
high,understanding,47
attitude,true,22
general,state,32
individual,low,17
constant,whether,10
knowledgeable,regret,9
emotionally,relate,4
anxiety,company,46
online,training,17
base,lift,9
serious,stand,6
basically,belief,27
lift,loss,14
catch,train,6
delete,walk,7
main,upset,4
period,reply,2
book,sad,38
currently,setting,10
limit,university,7
sorry,strong,28
cold,excuse,8
else,relate,6
alcohol,smoke,64
interest,whenever,30
club,online,20
addicted,stress,8
date,natural,14
completely,otherwise,10
instagram,name,7
hang,surround,8
feeling,whenever,70
attention,fight,41
honest,relationship,84
avoid,funny,12
fun,ugly,39
dopamine,mood,3
reach,shitty,11
hit,ultimately,8
laugh,smoke,12
honestly,relationship,83
bother,clearly,2
actively,example,23
made,yeah,25
close,position,20
expectation,progress,25
expectation,productive,13
account,meditate,2
actual,butt,27
beautiful,social,25
drive,happy,32
little,male,5
true,video,55
depend,video,18
actual,head,15
contact,fear,51
adult,emotion,28
awkward,emotion,11
joy,nice,15
almost,regular,13
early,emotional,24
cut,risk,12
fine,whether,16
pressure,whether,22
awesome,general,4
attract,include,7
comfort,easily,6
couple,responsibility,10
anymore,ex,44
piece,saying,30
die,kinda,15
broke,country,11
dude,expect,9
childhood,standard,3
conversation,youtube,22
miserable,youtube,8
ability,setting,18
acknowledge,attention,13
glad,spend,7
google,usually,10
second,somewhere,6
naturally,woman,38
diet,shit,42
contact,university,15
cold,hang,4
journal,plus,2
history,key,8
fill,successful,13
adult,girlfriend,13
motivation,switch,13
bed,decent,4
apps,play,17
push,text,9
edit,physically,2
easily,language,9
fit,train,6
full,sick,14
okay,type,35
happy,related,10
seek,side,24
lie,seek,26
character,eat,10
age,regret,41
case,perhaps,17
fuck,plus,7
definitely,meal,7
information,partner,9
partner,ton,12
lift,regular,5
boyfriend,mental,33
group,potential,24
appreciate,surround,6
engage,whole,16
far,half,26
huge,ignore,10
cold,worry,14
fit,funny,8
ass,throw,9
anyway,opinion,18
group,peace,8
computer,mentioned,2
another,decent,20
history,related,4
