node1_norm,node2_norm,weight
happen,sure,6524
become,front,1474
money,purpose,1300
encourage,grow,624
front,mindset,275
fat,find,1734
look,unhealthy,1429
forward,learn,3708
setting,stop,1170
stop,wear,1170
social,suffer,1569
improve,opinion,1814
progress,school,1507
making,teach,1699
decided,high,1763
already,honest,1280
healthy,value,1611
early,grow,1685
early,late,3589
almost,living,2301
deal,progress,1165
depressed,rather,766
gain,strong,500
badly,similar,1228
push,side,978
case,skin,250
cut,low,825
graduate,low,521
force,teach,643
force,gain,323
fit,skin,390
clothes,picture,181
slowly,tell,1999
please,social,2351
hobbies,improve,2174
happen,hope,6148
made,watch,3961
anyone,figure,2452
fact,play,2120
fact,speak,1824
shape,speak,384
fast,figure,931
deserve,process,635
emotional,hobbies,450
moving,option,608
carry,fat,140
success,thinking,1717
include,zone,267
another,guy,4028
guy,stand,1308
see,sleep,6119
ever,lack,4613
clean,hate,833
deal,plan,1645
eating,plan,1283
clean,quick,353
fill,open,646
great,shit,3687
fact,thinking,3345
already,obviously,1068
joke,usually,566
group,top,605
ever,nature,2040
ever,hopefully,1822
expect,first,3504
book,read,24763
certain,should,3543
confident,turn,1182
either,plan,1851
either,rest,1407
muscle,quickly,246
feeling,physically,2035
eating,impossible,349
appreciate,physically,535
incredibly,never,1458
easy,job,6434
die,give,3164
living,seem,3808
accomplish,remember,948
example,impossible,713
ignore,need,3482
fuck,lost,1863
respect,rest,528
guy,social,5039
improve,lift,1014
game,music,1677
level,recently,901
recently,skin,265
become,first,13856
college,turn,2451
desire,waste,657
fear,say,5829
listen,see,6340
come,head,7454
easy,lose,3524
capable,else,881
capable,little,809
exercise,girl,788
failure,girl,660
date,recently,1222
almost,edit,530
clear,fast,617
fast,overcome,327
live,quit,2233
pass,pay,1042
need,text,2141
long,young,4415
book,sort,1669
important,lift,746
grow,listen,1991
answer,grow,1767
training,walk,502
should,simply,3350
ask,thought,2311
decided,desire,477
long,major,1798
area,class,894
bear,story,549
carry,fail,421
butt,suffer,3790
hurt,moment,1457
okay,zone,331
hurt,suffer,784
public,scared,233
motivated,opinion,227
ability,tell,2055
say,turn,9611
desire,look,3083
able,stop,6841
boring,stop,1178
consider,great,3462
school,view,964
instead,though,4037
hope,travel,641
place,somehow,828
especially,money,1953
heres,instead,1135
attitude,instead,786
fitness,instead,508
already,far,2805
certain,mental,1469
mental,somehow,595
parent,rather,1283
home,view,706
gym,ready,714
girlfriend,pay,808
either,view,1006
leave,true,1505
honestly,leave,1280
anyways,leave,431
fitness,usually,302
base,class,688
definitely,list,918
fall,pick,1269
begin,state,1404
sign,waste,305
certain,pick,963
push,second,974
basically,unhealthy,280
physical,recently,675
physical,terrible,339
barely,left,605
ability,hit,484
fight,somehow,307
deserve,desire,370
sign,view,254
travel,view,216
heres,pursue,246
anyways,broke,158
hopefully,necessary,136
far,give,6493
far,set,2045
far,simply,1331
become,depressed,2860
receive,try,2024
honest,suck,495
edit,receive,139
individual,try,2370
find,impossible,2433
individual,set,706
order,somehow,333
response,several,233
anxiety,happen,3889
fuck,totally,742
come,text,1732
character,should,1071
recently,text,472
exactly,happy,1826
create,turn,2306
attempt,related,154
say,society,3007
app,never,1157
improve,poor,965
little,online,2011
low,super,735
probably,trouble,789
long,meet,6280
become,cycle,1681
everything,regardless,983
almost,working,3761
happy,sit,2520
ex,seem,894
less,tool,756
specific,wrong,906
research,two,965
deal,motivated,489
energy,tool,476
face,research,543
class,emotional,488
sit,success,734
business,normal,454
ex,normal,370
regardless,single,330
emotional,perhaps,416
business,mentioned,303
individual,smart,230
serious,try,3381
break,seem,3066
fault,need,2044
kind,support,2044
crazy,meet,867
fact,hand,1291
everything,lost,4444
look,switch,1483
deal,give,6685
grateful,skill,457
information,recommend,564
front,grateful,168
avoid,society,485
seek,sort,668
story,wish,1225
relationship,result,2212
forward,little,2338
forward,friend,1608
anyone,perfect,1529
confidence,mother,376
behavior,fit,416
anxiety,result,1575
try,walk,8095
ass,improve,769
else,whole,3620
depression,spend,2244
away,word,2391
away,deserve,1282
probably,whole,2775
confident,deserve,437
emotional,genuinely,360
extremely,hair,222
suppose,ugly,183
