node1_norm,node2_norm,weight
drive,improve,489
deal,feeling,3729
body,mind,7071
high,school,11827
high,number,854
live,weight,786
game,understand,810
chance,feeling,2453
internet,joke,147
standard,weight,329
due,word,891
book,plan,2486
fun,last,2337
list,nice,915
ability,great,1732
lack,sick,264
deal,desire,508
little,wrong,3791
first,meal,1144
brain,long,2904
healthy,useful,521
brain,nice,1018
voice,young,270
long,reason,4853
happy,zone,761
enjoy,grade,309
ass,interested,210
great,push,1346
path,stop,1302
home,side,1366
pick,side,454
state,stick,524
nature,strong,402
area,terrible,285
language,necessary,186
basic,sure,977
confidence,head,1764
character,social,720
full,improve,663
character,smart,170
natural,response,384
give,little,3434
willing,wrong,953
food,unhealthy,975
book,type,1839
create,knowledgeable,301
due,little,2047
drink,man,1146
girl,type,1671
grateful,look,869
energy,result,1194
study,successful,651
enough,successful,318
attitude,enough,143
full,list,865
inner,interesting,214
last,turn,1450
example,sort,1449
answer,nature,474
buy,support,286
decision,notice,431
kind,smart,1110
fix,try,2235
fit,sort,274
behavior,emotional,911
girl,worth,1676
confidence,lack,2144
book,clothes,606
guy,word,1912
confident,long,1668
happiness,university,260
approach,face,518
pay,school,1862
college,multiple,602
nature,therapist,241
multiple,pain,268
desire,pay,331
family,mood,566
home,mood,623
business,lazy,317
mood,wife,83
early,hobbies,429
easy,track,887
perfect,short,769
amount,field,378
tough,wake,342
part,peace,1047
brain,stop,2494
leave,moment,741
afraid,course,843
achieve,afraid,251
comfort,push,693
business,pick,338
hold,kinda,232
anyone,area,1421
figure,truth,575
kind,stop,3450
possible,word,1435
girlfriend,text,242
mine,term,457
choice,contact,254
path,show,656
approach,difference,421
attitude,open,356
leave,response,270
project,suggestion,236
child,man,1681
man,poor,751
play,whole,827
poor,tip,189
room,try,2285
muscle,try,1220
great,support,2014
shit,talk,3596
mom,whole,942
kid,yeah,768
sick,yeah,230
doctor,strong,313
pressure,tired,264
proud,suggestion,172
drive,effect,343
heres,nobody,299
effort,teach,493
excuse,parent,704
improve,need,714
man,nobody,1202
luck,try,5031
age,woman,2393
view,woman,1371
bunch,happy,663
girl,opinion,1082
move,reason,2636
reality,reason,1746
deal,deep,956
porn,public,130
personality,random,248
capable,plan,360
easy,stick,1461
order,trouble,325
reason,version,787
close,video,573
free,sleep,1133
lose,meditation,200
look,perspective,1537
real,rule,650
moment,perspective,1213
heart,success,420
car,hair,245
fall,information,274
course,pain,765
child,present,464
content,name,228
depression,read,2394
benefit,sure,1597
likely,long,1845
look,society,1147
body,lifestyle,880
anxiety,society,548
health,top,1039
decision,worth,1164
top,weight,669
awesome,head,462
run,sleep,538
notice,quality,244
buy,meditate,124
behavior,process,948
power,share,625
school,sleep,1885
deal,learn,1740
interest,notice,535
big,face,1453
major,worth,572
information,list,566
fuck,test,311
information,major,247
health,normal,1392
grade,learn,759
brother,feeling,1012
insecure,little,830
front,kind,955
physical,shit,1023
hand,parent,1048
fun,gym,1661
age,college,2425
age,angry,423
course,order,1073
fear,miserable,361
risk,term,390
low,position,454
improve,show,607
childhood,struggle,411
beat,comfortable,235
behavior,childhood,436
emotional,keep,254
business,language,388
insecure,room,204
awesome,power,243
adult,quick,181
company,play,261
crazy,joy,139
beat,deserve,186
city,shame,71
due,spend,739
human,type,864
early,fuck,508
accept,awkward,126
random,sort,349
happy,miserable,1514
check,power,557
human,number,477
challenge,opportunity,839
realize,understand,787
cycle,sleep,897
horrible,pay,210
chance,tool,253
everything,exact,1005
desire,long,1439
important,simple,2060
exact,give,445
decision,due,783
failure,tip,379
account,play,184
area,fact,989
amount,deal,861
opinion,present,433
respect,uncomfortable,346
cold,present,228
achieve,cold,132
benefit,energy,1025
important,straight,808
dude,sure,910
impact,parent,396
beautiful,dude,215
call,pattern,340
concept,result,461
practice,present,1173
actual,simple,372
hold,talk,1184
middle,normal,348
comment,tip,538
fight,huge,425
result,test,693
grow,heart,450
key,reach,343
add,solution,171
boundaries,reach,137
funny,routine,146
proud,reason,1070
community,simple,411
extra,worth,513
field,level,614
important,stress,1741
ton,wake,320
feeling,system,1482
food,ready,577
study,top,800
alcohol,study,238
limit,sex,166
cause,memory,405
environment,water,293
certain,okay,919
add,course,392
eat,video,825
break,none,390
couple,fuck,813
beautiful,movie,244
close,shame,128
fat,shame,83
happen,shame,131
give,lead,748
ability,aspect,465
aspect,useful,246
stop,university,632
regret,value,388
confidence,high,1909
country,lead,211
healthy,impact,750
plenty,task,213
amazing,check,477
activity,spend,978
area,character,242
girl,music,744
front,interesting,260
create,group,350
career,value,991
huge,note,412
community,watch,271
none,watch,239
awesome,grow,229
entire,helpful,347
friendships,name,109
challenge,sense,942
productive,struggle,483
university,video,674
balance,number,193
confident,loss,179
drug,progress,350
luck,stop,1937
energy,possible,1434
movie,social,1228
esteem,sleep,171
overcome,parent,466
confident,course,818
decision,fear,1014
awesome,story,442
hand,insecure,261
boring,emotional,139
insecure,miserable,199
home,regret,687
effort,miserable,403
light,simple,490
challenge,content,317
brother,drive,259
key,kind,1130
schedule,school,1222
boring,level,309
field,hate,157
environment,opinion,337
ability,reality,685
alcohol,event,244
internet,yeah,374
eat,game,904
act,case,852
attractive,quality,283
beautiful,cut,218
aware,play,365
okay,relationship,2761
direction,interest,685
aspect,plan,607
lesson,youtube,301
amazing,school,1341
piece,sleep,376
lack,late,450
amazing,dream,586
safe,student,130
doctor,fat,211
position,value,555
journey,manage,340
meet,pattern,287
regular,schedule,434
reach,story,479
purpose,top,361
childhood,purpose,238
doctor,teach,143
brother,text,160
due,present,492
mistakes,support,413
key,stress,492
behavior,key,474
successful,workout,200
event,solution,294
deserve,doctor,135
deserve,sign,111
comfort,plan,591
group,personal,1266
helpful,support,834
short,therapist,551
improve,rest,637
note,system,393
regret,slow,149
deep,university,350
quality,tend,134
meditation,period,442
knowledgeable,perspective,419
online,play,685
find,stick,243
city,find,131
natural,safe,205
natural,public,158
